Submission ID,Respondent ID,Submitted at,Which city do you live in?,Age,Gender,Year of Study,Income Range per month (LKR),Do you prefer online shopping or in-store shopping?,How many times per month do you shop online?,Social Media,Untitled short answer field,Shopping Platforms,Untitled short answer field,How often do you shop for clothes each month?,How much money do you typically spend on clothes/clothes per month (Rs/LKR)?,Are you satisfied with the current price ranges for clothes in stores?,Are you happy with Sri Lanka's current fashion styles?,What do you do when you want to discard your old clothes?,How many pieces of clothing do you discard each year?,Do you have once or never worn clothing items in your wardrobe? ,How many once or never worn clothing items do you have?,How many functions do you have to attend per year?,How often do you re-wear a party-wear?,How much do you usually spend or willing to pay on a party wear?,How frequently do you post your photos with new party wear on social media?,How frequently do you post your photos with the same party wear (mentioned in above) on social media?,"Would you like to consider, [wearing a borrowed clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [wearing a rented clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [buying a used (but in good condition) clothing item for an affordable price (for special occasions, parties, etc.)?
]","Would you like to consider, [Do you think that there is a potential for disease transmission when wearing second-hand or previously used clothes?]","Would you like to consider, [If an app allows you to buy, rent, and resell clothes, would you like to use it?
]",What are your main drawbacks when using a second-hand clothing app? (Select all that apply),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Quality of Clothing),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Scams (Trust Issues)),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Price & Payment Methods),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Delivery Charges),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Self-Esteem),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Other),Untitled short answer field,What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Party wear (dresses, sarees, lehengas, suits))","What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Casual wear (office wear, outdoor wear))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Home wear),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Sports wear),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Footwear (shoes, heels, sandals))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Accessories),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Bags & Luggage),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Books),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Electronic devices (phones, laptops, calculators etc.))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Household appliances),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Not interested in any Second-Hand items),If you see a celebrity wearing a dress and you have the chance to buy/rent it at an affordable price would you be interested?,"If you could post a picture of yourself wearing clothes on the app and someone wants to buy or rent it, would you be interested in selling or renting it?",What would make a second-hand clothing app most appealing to you?,Untitled short answer field,Do you have any additional comments or suggestions for a second-hand clothing app?
EEGrpA,ZPxQe5,2024-09-16 10:57:59,Kandy,22 - 25,Female,2nd year,10K - 50K,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"4,000 - 6,000",3,2,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Sometimes,Yes,Yes,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Casual wear (office wear, outdoor wear)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would rent",Functionality,,
5DYorZ,XOj9lV,2024-09-16 11:04:13,Anuradhapura ,25+,Female,4th year,Not Employed,In-Store,Never,Instagram,,"AliExpress, Daraz, Kapruka",,Thrice or More,"2,000 - 4,000",2,3,Donate,1 - 5,Yes,1 - 3,6 - 10,Once or Twice,"5,000 - 10,000",Sometimes,Never,Yes,No,Yes,No,Yes,"Quality of Clothing, Scams (Trust Issues), Delivery Charges, Self-Esteem, Price & Payment Methods",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Books, Household appliances, Bags & Luggage, Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,No,"Yes, I would sell",Opportunity for extra income,,No
1yY0xO,0o4ljj,2024-09-16 11:22:07,Clayton,25+,Male,1st year,10K - 50K,Online,Once or Twice,"Instagram, TikTok",,"Shein, Other",Amazon,Once or Twice,"2,000 - 4,000",3,3,Recycle,1 - 5,No,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Sometimes,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges, Self-Esteem",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Books, Household appliances",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
o1Z8B5,R8OgNK,2024-09-16 11:28:09,Kandy,22 - 25,Female,4th year,Not Employed,In-Store,Never,Instagram,,"Shein, Daraz, AliExpress",,Once or Twice,"2,000 - 4,000",2,2,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges, Other",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,No choice to fit on,"Accessories, Bags & Luggage, Books",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,No,Functionality,,
BlYy6A,dQ74EV,2024-09-16 11:55:51,Kandy ,25+,Female,4th year,Not Employed,In-Store,Never,Facebook,,AliExpress,,Once or Twice,"2,000 - 4,000",3,3,Donate,6 - 10,Yes,1 - 3,1 - 5,Thrice or More,"5,000 - 10,000",Never,Never,Yes,No,No,No,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,No,Opportunity for extra income,,
WB6W6R,GYMjRL,2024-09-16 11:56:56,Kandy ,25+,Female,4th year,Not Employed,In-Store,Once or Twice,"Instagram, Facebook",,"AliExpress, Shein",,Once or Twice,"2,000 - 4,000",2,3,Sell,6 - 10,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Never,Never,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Delivery Charges",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,
AGYgo0,6rqzRP,2024-09-16 11:59:02,Kandy,22 - 25,Female,4th year,50K - 100K,In-Store,Once or Twice,"Facebook, Other",,"AliExpress, Daraz",,Once or Twice,"4,000 - 6,000",3,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Rarely,Rarely,No,No,No,No,Yes,"Quality of Clothing, Price & Payment Methods",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Bags & Luggage, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Yes, I would buy",No,Opportunity for extra income,,
G4EvMo,P8oZ4P,2024-09-16 12:48:17,Kandy,22 - 25,Female,3rd year,Not Employed,In-Store,Once or Twice,WhatsApp,,AliExpress,,Never,"Below 2,000",3,2,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,Yes,Yes,No,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges, Self-Esteem",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent",No,Save money,,
KZ2YQK,dQ7J1r,2024-09-16 12:49:07,Colombo,25+,Female,4th year,50K - 100K,In-Store,Thrice or More,"Facebook, Instagram, WhatsApp",,"AliExpress, Daraz, eBay, Kapruka",,Once or Twice,"2,000 - 4,000",5,5,Donate,6 - 10,No,1 - 3,1 - 5,Thrice or More,"5,000 - 10,000",Sometimes,Sometimes,Yes,No,Yes,No,Yes,"Delivery Charges, Quality of Clothing, Price & Payment Methods",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would sell",Functionality,,
0y0MZA,zWVaxg,2024-09-16 14:09:34,Kandy ,22 - 25,Female,3rd year,Not Employed,In-Store,Once or Twice,Instagram,,"AliExpress, Other","Various online clothing, cosmetic stores",Once or Twice,"6,000 - 8,000",3,4,Donate,6 - 10,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Always,Rarely,Yes,Yes,No,No,No,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Sustainability of the service,,
4y0jrA,0o4paP,2024-09-16 14:14:01,Kandy,22 - 25,Female,4th year,Below 10K,In-Store,Once or Twice,"Facebook, TikTok",,AliExpress,,Once or Twice,"4,000 - 6,000",2,4,Donate,1 - 5,Yes,6+,10+,Once or Twice,"2,500 - 5,000",Sometimes,Never,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Delivery Charges",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Electronic devices (phones, laptops, calculators etc.), Books, Footwear (shoes, heels, sandals), Casual wear (office wear, outdoor wear)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes, I would rent","Yes, I would sell",Save money,,
DPOXvR,dQrWrN,2024-09-16 14:48:47,Peradeniya ,25+,Female,4th year,Not Employed,In-Store,Thrice or More,TikTok,,"Daraz, AliExpress, Shein",,Thrice or More,"6,000 - 8,000",2,2,Donate,10+,Yes,6+,10+,Once or Twice,"5,000 - 10,000",Rarely,Sometimes,Yes,No,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Sustainability of the service,,
EEVv6B,jGNZBJ,2024-09-16 15:02:58,Kandy,25+,Female,4th year,Not Employed,In-Store,Once or Twice,Facebook,,Daraz,,Once or Twice,"2,000 - 4,000",2,2,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,Yes,No,No,Delivery Charges,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Opportunity for extra income,,No
g1PYXl,2O0XJL,2024-09-16 15:04:02,Kandy ,25+,Female,4th year,Not Employed,In-Store,Once or Twice,"Facebook, Instagram",,"eBay, Daraz, AliExpress",,Once or Twice,"4,000 - 6,000",2,5,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Delivery Charges, Scams (Trust Issues)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Sports wear, Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,
G4Eq0o,R8pxeK,2024-09-16 15:08:01,Kandy,22 - 25,Female,4th year,Not Employed,In-Store,Thrice or More,Facebook,,"AliExpress, Daraz, Other",,Once or Twice,"4,000 - 6,000",3,3,Donate,1 - 5,Yes,4-6,1 - 5,Once or Twice,"5,000 - 10,000",Sometimes,Sometimes,Yes,No,No,No,Yes,"Scams (Trust Issues), Quality of Clothing",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,"Yes, I would sell",Save money,,
G4E5ej,E8959B,2024-09-16 15:20:35,Kandy,25+,Male,3rd year,10K - 50K,In-Store,Once or Twice,Instagram,,"Daraz, AliExpress, eBay",,Once or Twice,"2,000 - 4,000",1,4,Recycle,1 - 5,No,None,6 - 10,Thrice or More,"5,000 - 10,000",Sometimes,Sometimes,No,Yes,No,Yes,No,"Scams (Trust Issues), Delivery Charges, Self-Esteem",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,"Books, Accessories, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,No,Functionality,,
G4EbQL,5ERjNb,2024-09-16 15:31:01,Colombo ,22 - 25,Female,3rd year,50K - 100K,In-Store,Thrice or More,Instagram,,Shein,,Thrice or More,"6,000 - 8,000",3,1,Discard,10+,Yes,1 - 3,10+,Once or Twice,"10,000+",Sometimes,Rarely,No,No,No,Yes,No,"Price & Payment Methods, Delivery Charges, Quality of Clothing, Scams (Trust Issues), Self-Esteem",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,No,Other,-,-
2ydzvD,GYWzJ2,2024-09-16 16:22:29,Kegalle,22 - 25,Male,4th year,Not Employed,In-Store,Once or Twice,Facebook,,"AliExpress, Daraz",,Never,"2,000 - 4,000",3,3,Recycle,6 - 10,Yes,1 - 3,10+,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,No,No,No,No,No,"Scams (Trust Issues), Quality of Clothing, Self-Esteem",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals), Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,No,No,Functionality,,
BloqvR,E89XVX,2024-09-16 16:26:55,Anuradhapura ,25+,Female,4th year,Above 100K,In-Store,Once or Twice,"Instagram, TikTok",,Other,Shaiynt ,Once or Twice,"4,000 - 6,000",3,3,Donate,1 - 5,Yes,1 - 3,6 - 10,Once or Twice,"5,000 - 10,000",Sometimes,Sometimes,Yes,No,No,No,Yes,"Scams (Trust Issues), Quality of Clothing",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
G4EWQZ,jGN774,2024-09-16 17:33:56,Kandy,22 - 25,Female,4th year,Not Employed,In-Store,Once or Twice,Instagram,,"Shein, AliExpress, Daraz",,Once or Twice,"4,000 - 6,000",2,2,Donate,10+,Yes,6+,1 - 5,Never,"2,500 - 5,000",Rarely,Never,Yes,No,No,Yes,No,"Scams (Trust Issues), Self-Esteem, Quality of Clothing",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes, I would buy",No,Functionality,,-
6y62EO,0oXAB0,2024-09-16 19:22:17,Colombo,22 - 25,Female,2nd year,Not Employed,In-Store,Once or Twice,"Facebook, Instagram",,"AliExpress, Daraz",,Never,"2,000 - 4,000",1,5,Donate,6 - 10,No,None,10+,Thrice or More,"2,500 - 5,000",Rarely,Rarely,No,Yes,Yes,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Bags & Luggage, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Yes, I would buy","Yes, I would rent",Save money,,
ZKbAGy,r27e6L,2024-09-16 22:42:17,Padukka,22 - 25,Male,3rd year,10K - 50K,Online,Thrice or More,Facebook,,AliExpress,,Never,"Below 2,000",4,4,Donate,10+,Yes,1 - 3,10+,Thrice or More,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,No,No,No,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would sell",Opportunity for extra income,,
EEoVlL,Q8LbWp,2024-09-16 22:49:56,Kegalle,25+,Male,4th year,10K - 50K,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"4,000 - 6,000",3,4,Discard,6 - 10,Yes,4-6,1 - 5,Once or Twice,"5,000 - 10,000",Sometimes,Rarely,Yes,Yes,No,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Delivery Charges",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,"Accessories, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,"Yes, I would sell",Opportunity for extra income,,
by1ogL,GYW8EO,2024-09-17 0:03:17,Kandy,25+,Female,4th year,50K - 100K,Online,Once or Twice,Facebook,,Shein,,Once or Twice,"4,000 - 6,000",3,3,Donate,None,Yes,4-6,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Rarely,No,No,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,No,Functionality,,
5DaJro,ZP0qb5,2024-09-17 0:03:24,Australia ,25+,Female,4th year,Above 100K,In-Store,Once or Twice,Other,Shein,Shein,,Once or Twice,"4,000 - 6,000",3,4,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Rarely,Yes,Yes,Yes,Yes,Yes,"Scams (Trust Issues), Quality of Clothing, Price & Payment Methods, Delivery Charges",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals), Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
0yRO46,2OQARL,2024-09-17 2:41:42,Kurunegala,25+,Female,4th year,Not Employed,In-Store,Once or Twice,"Facebook, TikTok",,Shein,,Once or Twice,"2,000 - 4,000",3,2,Donate,10+,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Never,Yes,Yes,No,No,Yes,"Self-Esteem, Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Accessories, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Yes, I would rent","Yes, I would sell",Save money,,
AGelJW,XOZ4ad,2024-09-17 3:14:14,Kandy,18 -21,Female,1st year,Not Employed,In-Store,Never,Instagram,,Daraz,,Once or Twice,"6,000 - 8,000",1,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"Less than 2,500",Always,Sometimes,Yes,Yes,No,Yes,No,"Scams (Trust Issues), Price & Payment Methods, Quality of Clothing",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would sell",Opportunity for extra income,,
DP6J0p,Vo20qa,2024-09-17 4:22:42,Colombo ,22 - 25,Female,4th year,Above 100K,In-Store,Once or Twice,"Other, Instagram",Official Website ,"Other, Daraz","Gflock , Kelly Felder",Once or Twice,"6,000 - 8,000",2,4,Donate,6 - 10,Yes,1 - 3,6 - 10,Thrice or More,"5,000 - 10,000",Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,"Scams (Trust Issues), Quality of Clothing, Price & Payment Methods",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Home wear, Footwear (shoes, heels, sandals)",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy",No,Opportunity for extra income,,
ZKrPlA,O8OPA7,2024-09-17 5:01:59,Kandy,22 - 25,Male,3rd year,Not Employed,Online,Once or Twice,WhatsApp,,"AliExpress, Daraz",,Once or Twice,"2,000 - 4,000",3,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"5,000 - 10,000",Sometimes,Rarely,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Scams (Trust Issues)",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Accessories, Electronic devices (phones, laptops, calculators etc.), Household appliances, Books, Bags & Luggage, Footwear (shoes, heels, sandals), Sports wear",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,"Yes, I would rent",Save money,,This is a good idea actually. But u need to ensure the quality of the product. Need to make a way to ensure the trust between buyer and seller
2yG7Oe,kOM5Qj,2024-09-17 5:53:19,Kelaniya,25+,Male,4th year,Above 100K,In-Store,Once or Twice,Instagram,,"eBay, Shein",,Once or Twice,"4,000 - 6,000",4,4,Donate,6 - 10,Yes,6+,10+,Thrice or More,"5,000 - 10,000",Sometimes,Sometimes,Yes,Yes,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Self-Esteem",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Sports wear, Accessories, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Yes, I would rent","Yes, I would sell",Sustainability of the service,,
x15zpo,bNbrx2,2024-09-17 6:02:47,Nugegoda,25+,Male,4th year,Above 100K,In-Store,Once or Twice,"Facebook, Instagram",,"AliExpress, Daraz, Shein",,Once or Twice,"6,000 - 8,000",2,2,Donate,10+,No,None,10+,Once or Twice,"5,000 - 10,000",Rarely,Rarely,Yes,Yes,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Sports wear, Footwear (shoes, heels, sandals), Bags & Luggage, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,No,"Yes, I would rent",Opportunity for extra income,,n/a
r1MgXR,bNb8ae,2024-09-17 6:33:37,Gampola,25+,Male,4th year,Not Employed,In-Store,Once or Twice,Instagram,,Other,Carnage,Once or Twice,"2,000 - 4,000",2,4,Recycle,None,Yes,1 - 3,6 - 10,Thrice or More,"5,000 - 10,000",Sometimes,Sometimes,Yes,Yes,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sports wear, Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Yes, I would buy",No,Save money,,
agqJ9Z,dQBK7y,2024-09-17 7:36:06,Peradeniya ,22 - 25,Female,4th year,Not Employed,Online,Once or Twice,Facebook,,AliExpress,,Once or Twice,"2,000 - 4,000",3,3,Discard,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,Yes,No,No,Self-Esteem,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Yes, I would rent","Yes, I would rent",Functionality,,No
x1Wp7v,aZ7pyW,2024-09-17 10:54:12,Badulla ,22 - 25,Female,4th year,Not Employed,In-Store,Never,Facebook,,"Daraz, AliExpress",,Never,"2,000 - 4,000",2,1,Donate,None,Yes,6+,1 - 5,Thrice or More,"5,000 - 10,000",Never,Never,Yes,Yes,No,No,Yes,"Quality of Clothing, Price & Payment Methods, Delivery Charges, Self-Esteem, Scams (Trust Issues)",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,No,No,Functionality,,
8ylYYk,R87xNK,2024-09-17 13:38:17,Kandy ,25+,Female,4th year,10K - 50K,Online,Once or Twice,Instagram,,"AliExpress, Daraz",,Never,"Below 2,000",2,2,Donate,None,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Rarely,Never,Yes,No,Yes,Yes,Yes,"Price & Payment Methods, Quality of Clothing, Scams (Trust Issues), Other",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Skin conditions etc, transmission ","Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances, Party wear (dresses, sarees, lehengas, suits), Accessories",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,No,Sustainability of the service,,
